,title,company,city,rating,salary
625,Junior Data Scientist,CACI,"Washington, DC 20005 (Logan Circle area)",3.8,
626,Data Scientist III (Bethesda or 100% Remote),Radian,"Bethesda, MD 20814",3.5,"$117,680 - $161,810 a year"
627,Health Advocate E2H Data Scientist,Health Advocate,Remote,3.1,
628,Data Scientist,ViaSat,"San Diego, CA",3.8,
629,Data Science Intern,GVEC,"Seguin, TX",3.3,
630,Applied Data Scientist 2,Discovery,"Bellevue, WA 98004 (Downtown area)",4.1,
631,Data Scientist Director,Oracle,"San Francisco, CA 94111 (Financial District area)",3.8,
632,Data Scientist,IFG Companies,"Atlanta, GA",3.1,
633,Data Scientist,John Deere,"Urbandale, IA 50322",4.0,
634,Data Scientist,FT Optimize,"Half Moon Bay, CA",,
635,Data Scientist,CONTINENTAL FINANCE COMPANY,"Wilmington, DE 19808",,
636,DATA SCIENTIST,Decentrix,"Denver, CO",,
637,Data Scientist,Pandera Systems,"Orlando, FL",3.6,
638,Sr. Data Scientist,Caterpillar,Remote,3.9,
639,Sr. Data Scientist I,Datto Jobs,"Dallas, TX",,
640,Senior Data Scientist,System1,"Los Angeles, CA 90015 (Downtown area)",,
641,Data Scientist (Risk Management),The UPED Group,"Dallas, TX",,
642,Data Scientist - Oncology,C&G Consulting Services,"Princeton, NJ 08540",,"$120,000 - $140,000 a year"
643,Data Scientist/Integrator (Part-Time),KBR,"Lexington Park, MD",4.1,
644,Data Scientist,JW Player,New York State,2.8,
645,"100% Remote, Princ Data Scientist : 21-00571",Akraya Inc.,"Sunnyvale, CA 94089",3.7,
646,Data Scientist,Contus,"Atlanta, GA",,
647,Data Scientist Intern,Extreme Networks,"Salem, NH 03079",3.6,
648,Data Scientist - Research & Economics,Uber,"San Francisco, CA 94103 (South of Market area)",3.7,
649,Data Scientist - Lumedic,Providence,"Seattle, WA 98194 (Downtown area)",3.9,
650,Data Scientist - Deep Learning,Verb Surgical,"Mountain View, CA 94043",3.8,
651,Data Scientist,SeamlessWorld Consulting,"East Brunswick, NJ",,
652,Job opportunity: Junior data scientist / bioinformatics @ NI...,Data Tecnica,"Glen Echo, MD",,
653,Data Scientist,The University of Pittsburgh,"Pittsburgh, PA 15260 (North Oakland area)",4.2,
654,Data scientist and optimization expert,Enginsoft,Colorado,,
655,Data Scientist,"Continental Finance Company, LLC","Wilmington, DE 19808",,"$80,000 - $100,000 a year"
656,"Data Scientist, CryptoEconLab",Protocol Labs,Remote,,
657,Data Analyst,Pensa Systems,Remote,,
658,Data Research Analyst Intern,Kingland Systems,"Ames, IA 50014 (South Campus Area area)",3.2,
659,Data Scientist/HPC/Cloud/NGS/Pharma/Python/Linux,Tellus Solutions,Remote,4.7,
660,Data Scientist,Digital Pharmacist,"Austin, TX 78751",5.0,
661,Senior Data Scientist,Mode,"San Francisco, CA",4.2,
662,Senior Data Scientist - Measurement,eBay Inc.,"Bellevue, WA",3.9,
663,Data Scientist,Naka Technologies,"New York, NY",,
664,Associate Data Scientist,Root Insurance Company,"Columbus, OH",3.7,
665,Data Scientist,Avalon Healthcare Solutions,United States,3.0,
666,Machine Learning & Data Engineer,"JPMorgan Chase Bank, N.A.","Plano, TX",3.9,
667,Sr AI Data Scientist,UCB S.A.,"Atlanta, GA",3.8,
668,Data Scientist,Howmet Aerospace,"Whitehall, MI",3.4,
669,Data Scientist,PowerAdvocate,"Boston, MA 02111 (Leather District area)",4.1,
670,Data Scientist,HPOne,"Trumbull, CT",3.3,
671,Data Scientist/Machine Learning,Juniper Networks,"Cupertino, CA",4.1,
672,Data Scientist,"InSequence, Inc","Springfield, VA",,
673,Principal Data Scientist - Telecommute,UnitedHealth Group,"Eden Prairie, MN 55346",3.7,
674,"Data Scientist, Analytics",Next Insurance,"Palo Alto, CA 94306 (Evergreen Park area)",,
675,Data Scientist I,Freeport McMoRan,"Phoenix, AZ 85040 (South Mountain area)",4.0,
676,Data Scientist,Internet of Things LLC,"Washington, DC 20011 (Catholic University-Brookland area)",,
677,Data Scientist,L. L. Bean,"Freeport, ME",4.2,
678,Data Scientist,Game Circus,"Addison, TX 75001",,"$100,000 - $130,000 a year"
679,Intern - Medical Economics & Data Science,Capital BlueCross,"Harrisburg, PA 17177",3.6,
680,Senior Data Scientist,Step Mobile,"Palo Alto, CA",,
681,Data Scientist,Hitachi Solutions Ltd,"Chicago, IL 60606 (The Loop area)",3.8,
682,Manufacturing I/T Simulation and Optimization Data Scientist,General Motors,"Austin, TX",4.1,
683,"Return to Work - Data Scientist, Product Analytics",Facebook,"Austin, TX (Downtown area)",4.2,
684,Data Scientist,Metalenz,"Boston, MA 02114 (West End area)",,
685,Data Scientist,Revantage Corporate Services,"Chicago, IL 60606 (The Loop area)",2.0,
686,Data Scientist- Data & Relevancy,Wish,"San Francisco, CA 94103 (South of Market area)",4.0,
687,Data Scientist,W. Capra Consulting Group,"Chicago, IL 60601 (The Loop area)",3.7,
688,Data Scientist / Software Engineer (Prognostics),Tesla,"Palo Alto, CA",3.5,
689,Data Scientist,auticon,"Columbus, OH",,
690,Data Scientist,Gayathri's Sandbox,"Menlo Park, CA",,
691,"Data Scientist, RWD",Alldus,"Boston, MA",,
692,Product Data Scientist,Mozilla,Georgia,4.1,
693,Data Scientist,Rhythm,"New York, NY",3.8,
694,Data Scientist,Finrise,"Burlingame, CA",,
695,"Data Scientist, SPG Ops Analytics",Apple,"Santa Clara Valley, CA 95014",4.2,
696,College Intern Technical/Data Scientist,Northrop Grumman,"McLean, VA 22102",4.0,
697,Data Scientist,"Avetta, LLC","Houston, TX",,
698,Senior Data Scientist,Splunk,"Austin, TX 73301 (St Edwards area)",4.2,
699,Data Scientist,Descript,"San Francisco, CA",,
700,Data Scientist,auticon,"Columbus, OH",,
701,Data Scientist,InVisionApp,Massachusetts,3.5,
702,"Data Scientist, RWD",Alldus,"Boston, MA",,
703,Data Scientist / Software Engineer (Prognostics),Tesla,"Palo Alto, CA",3.5,
704,"Data Scientist, Product",Moveworks,"Mountain View, CA",4.3,
705,Data Scientist,Metalenz,"Boston, MA 02114 (West End area)",,
706,Principal Data Scientist - Telecommute,UnitedHealth Group,"Eden Prairie, MN 55346",3.7,
707,Data Scientist,One Drop,"New York, NY",,
708,Senior Data Scientist,Visa,"Arlington, VA",3.9,
709,Data Scientist,Digital Pharmacist,"Austin, TX 78751",5.0,
710,"Data Scientist, Analytics & Inference - New York or Remote",Codecademy,"New York, NY",4.2,
711,Scientist -Data Assimilation and Numerical Weather Predictio...,Tomorrow.io,"Boulder, CO",4.1,
712,Data Scientist (Spring 2021 Co-Op),Motorola Solutions,"Champaign, IL",4.1,
713,Data Scientist,"Mulligan Funding, LLC","San Diego, CA 92123 (Kearny Mesa area)",3.9,
714,Data Scientist,Palo Alto Networks,"Santa Clara, CA",3.9,
715,Data Scientist,ScaleMonk,"Palo Alto, CA",,
716,Data Scientist,Frontdoor,"Denver, CO 80238",,
717,Data Scientist,Doorstead,California,,
718,Senior Data Scientist,Splunk,"Austin, TX 73301 (St Edwards area)",4.2,
719,Data Scientist,Pacific Northwest National Laboratory,"Richland, WA",4.1,
720,Data Scientist,Joby Aviation,"Santa Cruz, CA 95060",,
721,Intern – Data Scientist,Soothsayer Analytics,"Livonia, MI",3.5,
722,Actuarial Data Scientist,"Growers Edge Financial, Inc.",Remote,,
723,Data Scientist,LendingTree,"Charlotte, NC",3.8,
724,Data Scientist - Applied Machine Learning,Virtual eForce,"Bellevue, WA 98004 (Downtown area)",,
725,Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL",3.9,
726,Data Scientist,Integrity Management Consulting,"Fort Shafter, HI 96858 (Moanalua area)",4.5,
727,Data Scientist - Stylist Development,Stitch Fix,"San Francisco, CA",3.2,
728,Lead Data Scientist,WorkFusion,"New York, NY",,
729,Associate Data Scientist,Great Jones,"New York, NY 10012 (NoHo area)",2.5,
730,Data Scientist,Mavenir,"Richardson, TX",3.5,
731,Data Scientist,CoreCompete,"Durham, NC",,
732,Data Scientist,Analytica,"Washington, DC 20001 (Shaw area)",3.6,
733,NLP - MRP Data Scientist,Espire Services,Remote,,"$120,000 - $145,000 a year"
734,Senior Data Scientist,WALGREENS,"Deerfield, IL 60015",3.6,
735,Data Scientist,Rhythm,"New York, NY",3.8,
736,"Data Scientist, Forecasting",Pinterest,"San Francisco, CA 94103 (South of Market area)",4.2,
737,"Data Scientist, Data & Visualization (Contract)",STAR Labs,"Los Gatos, CA",,
738,Senior Data Scientist II,RELX Group,"Raleigh, NC",4.1,
739,Data Analyst/Data Scientist,Vanderlande Industries,"Atlanta, GA",3.6,
740,Data Scientist,Grainger,"Chicago, IL 60603 (Loop area)",3.7,
741,Sr. Data Analyst,Pearson,"Chandler, AZ",3.7,
742,Data Scientist,OneSignal,"San Mateo, CA",,
743,Data Scientist/Machine Learning/AI,Juniper Networks,"Cupertino, CA",4.1,
744,Senior Data Scientist,Github,Remote,4.3,
745,Data Scientist,Verizon,"Cary, NC 27513",3.9,
746,Data Scientist - Experimentation (Contract Position),Getty Images,"Seattle, WA 98103 (Fremont area)",3.9,
747,Data Scientist - Recommendations,Lowe's,"Charlotte, NC 28202 (Downtown Charlotte area)",3.6,
748,Data Scientist,Vivint Smart Home,"Lehi, UT 84043",3.4,
749,Data Scientist,Clearcover,Illinois,,
750,Data Scientist - Financial,iHerb,Remote,3.3,
751,Data Scientist,DeepHealth,"Cambridge, MA",,
752,Junior Data Scientist,Riverside Research,"Washington, DC",3.6,
753,Senior Data Scientist,Mode,"San Francisco, CA",4.2,
754,Data Scientist,"Certegy Payment Solutions, LLC","Clearwater, FL 33764",,
755,Sr Data Scientist,Itron,"Liberty Lake, WA 99019",3.8,
756,Data Analyst,"Bumble Bee Foods, LLC","San Diego, CA 92123 (Serra Mesa area)",4.0,
757,Data Scientist,"T. White Parker Associates, Inc.","Washington, DC 20020 (Anacostia area)",,
758,Data Scientist,ServiceChannel,"Pleasanton, CA",3.9,
759,"2021 Intern, Data Science, Behavior",Waymo,Remote,3.1,
760,Principal Data Scientist,Quaxigma,"Schaumburg, IL 60195",,"$130,000 - $200,000 a year"
761,Data Scientist,Naval Nuclear Laboratory,"Niskayuna, NY 12309",2.8,
762,CPXE – Senior Data Scientist,Cisco Systems,"Research Triangle Park, NC",4.1,
763,Software Engineer / Data scientist,Genentech,"South San Francisco, CA 94080",4.1,
764,Machine Learning & Data Engineer,"JPMorgan Chase Bank, N.A.","Plano, TX",3.9,
765,Data Scientist – NYP Analytics,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",4.2,
766,"Data Scientist, SPG Ops Analytics",Apple,"Santa Clara Valley, CA 95014",4.2,
767,Data Scientist,Sanofi,"Cambridge, MA",4.1,
768,"Senior Data Scientist, Customer Analytics",Atlassian,"San Francisco, CA",4.4,
769,Data Scientist,Milliman,"Brookfield, WI 53005",3.6,
770,Literature Information & Data Scientist,Abbvie,Remote,4.0,
771,Data Science Analyst - DART Program,Lithia Home Office,"Medford, OR 97501",,
772,Early Career Data Scientist - Applied Math,Pacific Northwest National Laboratory,"Seattle, WA",4.1,
773,Data Scientist Intern,AlignTech,California,3.8,
774,"Data Scientist, Marketing Capital Allocation",Root Insurance Company,Remote,3.7,
775,Senior Data Scientist,Devoted Health,Remote,3.3,
776,Data Scientist,Swain Techs,"Bethesda, MD 20892",,
777,Data Science Intern,Employment Opportunities at BuzzFeed,"New York, NY",,
778,Data Scientist,Buchanan & Edwards,"Washington, DC",4.1,
779,Data Scientist,Penske Truck Leasing and Logistics,"Beachwood, OH 44122",3.5,
780,Staff Scientist - Data Science,National Renewable Energy Laboratory,"Golden, CO 80401",3.8,"$73,900 - $133,100 a year"
781,Data Scientist,Coinbase,Remote,4.4,
782,Staff Scientist - Data Science,National Renewable Energy Laboratory,"Golden, CO 80401",3.8,"$73,900 - $133,100 a year"
783,Data Scientist,Coinbase,Remote,4.4,
784,Data Scientist,"Certegy Payment Solutions, LLC","Dallas-Fort Worth, TX",,
785,Data Scientist,Memorial Sloan-Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)",4.2,
786,Data Scientist,DialogTech,Remote,3.5,
787,Data Scientist,Waymo,"Mountain View, CA",3.1,
788,Product Data Scientist,Carta,"San Francisco, CA",3.8,
789,Data Scientist – Fundamental Fixed Income Associate,BlackRock,"Atlanta, GA",3.8,
790,Data Scientist,Naval Nuclear Laboratory,"Niskayuna, NY 12309",2.8,
791,Senior Data Scientist - Insights Platform (Remote Eligible A...,Spotify,"New York, NY",4.3,
792,Data Scientist,Sharecare Inc,"New York, NY 10013 (SoHo area)",3.4,
793,Senior Data Analyst,Samiti Technology,"Richmond, VA 23219 (Capitol District area)",,$55 - $65 an hour
794,SENIOR DATA SCIENTIST,Intouch Solutions,United States,3.2,
795,Associate Data Scientist,PACCAR,"Renton, WA 98057",3.6,
796,Sr Data Scientist,Itron,"Liberty Lake, WA 99019",3.8,
797,Machine Learning Intern,Tech For Good Inc,"Boston, MA",,
798,Senior Data Scientist,SCOR,"Charlotte, NC 28280 (Downtown Charlotte area)",3.4,
799,Product Analytics - Data Scientist,CreditNinja,"Chicago, IL",,
800,Data Scientist,FourthWall Media,"Sterling, VA 20166",5.0,
801,Intern: Analytics & Data Science (Summer 2021),Equinix,"Sunnyvale, CA",3.8,
802,Data Scientist,Central Garden & Pet,"Schaumburg, IL",3.1,
803,Data Scientist (Demolition Department),City of Detroit,"Detroit, MI 48226 (Downtown area)",3.6,
804,Principal Data Scientist,Veeva Systems,"New York, NY",4.0,
805,Data Scientist,A10Clinical,"Duluth, GA",,
806,Senior Data Scientist,Step Mobile,"Palo Alto, CA",,
807,"Analytics Specialist, Data Science",Delta,"Atlanta, GA",4.2,
808,Associate Data Scientist,Gap Inc.,"San Francisco, CA",3.8,
809,Data Scientist,Lenovo,"Chicago, IL",3.9,
810,Data Scientist (Remote),Signifyd,California,3.5,
811,Data Scientist (Co-op),Retail Business Services,"Quincy, MA 02169",4.0,
812,Data Scientist,SpotX,"Salt Lake City, UT",4.1,
813,Senior Data Scientist,Dillard's,"Little Rock, AR 72201 (Riverdale area)",3.3,
814,Data Scientist,"Certegy Payment Solutions, LLC","Dallas-Fort Worth, TX",,
815,Data Scientist,6sense,"San Francisco, CA",,
816,Data Scientist,Bloomberg,"Princeton, NJ 08540",3.9,
817,Data Science Intern (Unpaid),Minority Programmers Association,Remote,,Up to $15 an hour
818,Remote Data Scientist,Advito,"Pittsburgh, PA",,
819,Data Scientist,Naka Technologies,"New York, NY",,
820,Ph.D. Scientist/Engineer - Chemistry Design & Synthesis Data...,Procter & Gamble,"Cincinnati, OH 45201 (Central Business District area)",4.2,
821,Senior Data Scientist - Conversations,Twitter,"Seattle, WA",4.1,
822,Data Scientist / Software Engineer (Prognostics),Tesla,"Palo Alto, CA",3.5,
823,Data Scientist/Machine Learning/AI,Juniper Networks,"Cupertino, CA",4.1,
824,DATA SCIENCE CONSULTANT HOUSTON,managementsolutions,"Houston, TX 77056 (Greater Uptown area)",3.8,
825,Associate Data Review Scientist- Biochemistry,Eurofins USA BioPharma Services,"Lancaster, PA",3.5,
826,Data Scientist,Viola AI,"Boulder, CO",,
827,Data Scientist - Strategic Data Science,"Two Sigma Investments, LLC.","New York, NY",3.8,
828,Data Scientist | Remote (US),Tara AI,"San Jose, CA 95113 (Downtown area)",,
829,Distinguished Data Scientist - Personalization,Verizon,"Colorado Springs, CO 80919 (Northwest Colorado Springs area)",3.9,"$111,300 - $206,700 a year"
830,Image Data Scientist,PureTech Health,"Boston, MA",,
831,Climate Change Impact Data Scientist / Analyst,Gro Intelligence,"New York, NY 10036",,
832,Data Scientist,Showtime,"New York, NY 10176 (Murray Hill area)",4.0,
833,Data Scientist,Rackspace,"Dallas, TX",3.7,
834,Sr. Data Analyst (Analytics),V Projects,"Pleasanton, CA 94566",,$45 - $62 an hour
835,Data Scientist,"MCR, LLC.","Norfolk, VA",4.0,
836,Data Scientist,The University of Pittsburgh,"Pittsburgh, PA 15260 (North Oakland area)",4.2,
837,Data Engineer,Cognizant Technology Solutions,"Plano, TX 75023",3.9,
838,Sr. Data Scientist - Analytics,Acorn Analytics,Remote,,
839,Data Scientist,Sunlighten (435/Metcalf),"Overland Park, KS 66210",,
840,Senior Data Scientist,Thistle Health Inc.,Remote,,
841,"Data Scientist, Momentum",Momentum,"New York, NY 10016 (Flatiron District area)",3.7,
842,Cloud Data Services Associate,PwC,"San Antonio, TX 78206 (King William area)",4.0,
843,Data Scientist,Transamerica,"Denver, CO 80221",3.5,
844,"Data Scientist, Analytics",Facebook,"Los Angeles, CA",4.2,
845,Data Scientist,"E-Logic, Inc.","Atlanta, GA",,"$85,000 - $90,000 a year"
846,Data Scientist,Abbott Laboratories,"Abbott Park, IL",4.0,
847,Senior Data Scientist,Humana,"Troy, MI",3.7,
848,Senior Data Scientist – Search and Personalization,Getty Images,Remote,3.9,
849,Data Scientist,Brilliant Infotech,"Ewing, NJ",,"$111,000 - $122,000 a year"
850,Data Scientist,Lyra Health,"Burlingame, CA 94010",4.5,
851,Data Research Analyst Intern,Kingland Systems,"Ames, IA 50014 (South Campus Area area)",3.2,
852,Data Scientist,Descript,"San Francisco, CA",,
853,Data Scientist,Crunchyroll,"San Francisco, CA",4.5,
854,Data Scientist,Howmet Aerospace,"Whitehall, MI",3.4,
855,Data Warehouse Engineer / Modeler,Verstand AI,Remote,,
856,Data Scientist (Remote),Madison Reed,"San Francisco, CA 94110 (Mission area)",3.1,
857,Intern – Data Scientist,Soothsayer Analytics,"Livonia, MI",3.5,
858,Data Scientist,Coastal Community Bank,"Everett, WA 98203 (Glacier View area)",4.1,
859,Research Data Scientist,RTI International,"Durham, NC 27709",3.6,
860,Senior Data Analyst,Equitus,"Washington, DC 20032 (Anacostia area)",,"$90,000 - $100,000 a year"
861,Data Scientist,EDO,"Los Angeles, CA",4.7,
862,Interdisciplinary Computer Scientist Computer Engineer (DATA...,US Department of Defense,"Herndon, VA",4.2,"$103,690 - $159,286 a year"
863,Data Scientist,Imprint,"Phoenix, AZ",4.0,
864,Data Scientist (Risk Management),The UPED Group,"Dallas, TX",,
865,Principal Data Scientist,Veeva Systems,"New York, NY",4.0,
866,"Data Scientist - Redwood City, CA or Seattle, WA",MOLOCO,"Redwood City, CA",,
867,Data Scientist,Ops Tech Alliance,"Fayetteville, NC",4.0,
868,Data Scientist,MX Technologies Inc.,"Lehi, UT",4.6,
869,Data Scientist - Senior Levels,FedEx Services,"Brookfield, WI",3.8,
870,Lead Data Scientist,Hotel Engine,"Denver, CO",1.8,"From $140,000 a year"
871,Senior SQL Data Analyst - JO3554,Moorecroft Systems,Remote,,$40 - $55 an hour
872,Senior Data Scientist - Conversations,Twitter,"Seattle, WA",4.1,
873,Data Scientist,MORSCO,"Addison, TX",3.1,
874,Data Scientist Intern,Extreme Networks,"Salem, NH 03079",3.6,
875,Data Scientist Interrn,Verizon Media,"Dulles, VA",3.7,
876,"Data Scientist/Epidemiologist, Activity #2",Heluna Health,"Los Angeles, CA",3.7,
877,Data Scientist,Mode,California,4.2,
878,"Data Scientist, CryptoEconLab",Protocol Labs,Remote,,
879,Data Scientist,"E-Logic, Inc.","Atlanta, GA",,"$85,000 - $90,000 a year"
880,Actuarial Data Scientist,"Growers Edge Financial, Inc.",Remote,,
881,Data Science Intern,Beckman Coulter Diagnostics,"Chaska, MN 55318",3.7,
882,Statistician,UCLA Health,"Los Angeles, CA 90001",4.0,$25.29 - $50.19 an hour
883,Data Scientist,HP,"Boise, ID 83714 (West Bench area)",4.0,
884,Senior Applied/ Data Scientist w/ deep learning- NLU and Com...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
885,Senior Applied/ Data Scientist w/ deep learning - NLP and Co...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
886,Principal Applied/ Data Scientist w/ deep learning - NLP and...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
887,Data Scientist (Remote),Madison Reed,"San Francisco, CA 94110 (Mission area)",3.1,
888,Data Scientist,Raytheon Technologies Corporate,"Brooklyn, NY 11201",3.9,
889,"Data Scientist, Analytics",Next Insurance,"Palo Alto, CA 94306 (Evergreen Park area)",,
890,Senior Data Analyst ( Remote ),Keboli,"Seattle, WA",,From $55 an hour
891,Sr. Data Scientist,Eiden Systems Corporation,"Patuxent River, MD",,
892,Machine Learning Data Scientist - Telecommute,UnitedHealth Group,"Minnetonka, MN 55345",3.7,
893,"Data Scientist, Risk and Fraud",Eventbrite,"Nashville, TN 37203 (Citizens Protecting Revitalization area)",4.1,
894,Product Data Scientist,Carta,"San Francisco, CA",3.8,
895,Data Scientist – NYP Analytics,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",4.2,
896,Data Scientist,Viola AI,"Boulder, CO",,
897,Senior Data Scientist - Conversations,Twitter,"Seattle, WA",4.1,
898,Machine Learning & Data Engineer,"JPMorgan Chase Bank, N.A.","Plano, TX",3.9,
899,Data Science Intern,"Systems Planning and Analysis, Inc.","Alexandria, VA 22311 (Alexandria West area)",3.7,
900,Data Science Intern,Resideo,"Austin, TX",3.4,
901,Data Analyst/Data Scientist,Vanderlande Industries,"Atlanta, GA",3.6,
902,Data Scientist,Federal Reserve Bank of Cleveland,"Cleveland, OH 44114 (Downtown area)",3.9,
903,Data Science Intern,"Systems Planning and Analysis, Inc.","Alexandria, VA 22311 (Alexandria West area)",3.7,
904,Data Science Intern,Resideo,"Austin, TX",3.4,
905,Data Analyst/Data Scientist,Vanderlande Industries,"Atlanta, GA",3.6,
906,Data Scientist,Federal Reserve Bank of Cleveland,"Cleveland, OH 44114 (Downtown area)",3.9,
907,Associate Data Scientist Engineer,Gap Inc.,"San Francisco, CA 94105 (Financial District area)",3.8,
908,"Junior Data Engineer - Austin, TX",Deloitte,"Austin, TX",4.0,
909,Data Scientist,Metas Solutions,"Research Triangle Park, NC 27560",,
910,Software Engineer / Data scientist,Genentech,"South San Francisco, CA 94080",4.1,
911,Data Science Intern (Unpaid),Minority Programmers Association,Remote,,Up to $15 an hour
912,"Search Data Scientist, Apple App Store - Austin",Apple,"Austin, TX",4.2,
913,Data Scientist,Catalina Marketing,"Atlanta, GA",3.2,
914,Data Scientist,SmileDirectClub,"Nashville, TN 37219",2.9,
915,Senior Data Scientist,"Pixalate, Inc.",Remote,,
916,Data Scientist,ADP,"Parsippany, NJ 07054",3.8,
917,Machine Learning Data Associate,Amazon.com Services LLC,"Santa Barbara, CA",3.6,
918,Data Scientist - Strategic Data Solutions,Apple,"Austin, TX",4.2,
919,Intern - Medical Economics & Data Science,Capital BlueCross,"Harrisburg, PA 17177",3.6,
920,Senior Data Scientist,General Motors,"Austin, TX",4.1,
921,Associate Data Scientist Engineer,Gap Inc.,"San Francisco, CA 94105 (Financial District area)",3.8,
922,Data Scientist (Modeling/Algorithms) - Pricing,DiDi Labs,"Mountain View, CA",,
923,Data Scientist,ADP,"Parsippany, NJ 07054",3.8,
924,Data Scientist,W. Capra Consulting Group,"Chicago, IL 60601 (The Loop area)",3.7,
925,Freelance Data Scientist & Analyst,Understood,New York State,,
926,Data Scientist Engineer,BlackBerry,"Irving, TX 75039 (Las Colinas Urban Center area)",4.0,
927,Data Scientist,Buchanan & Edwards,"Washington, DC",4.1,
928,Applied Scientist Internship (InSAR),Descartes Labs,Remote,,
929,Machine Learning Data Associate,Amazon.com Services LLC,"Santa Barbara, CA",3.6,
930,Data Scientist,Sabal Tech,"Fort Lauderdale, FL 33301 (Colee Hammock area)",,
931,"Search Data Scientist, Apple App Store - Austin",Apple,"Austin, TX",4.2,
932,Data Scientist - Advanced Analytics,State Farm,"Bloomington, IL 61701",3.7,
933,Data Scientist,Sabal Tech,"Fort Lauderdale, FL 33301 (Colee Hammock area)",,
934,Data Scientist (Customer Analytics),Principal Financial Group,"Des Moines, IA 50392 (Downtown Des Moines area)",3.9,
935,Data Scientist,Kochava,"Sandpoint, ID 83864",2.8,
936,Data Science Intern,Best Egg,Remote,,
937,Data Scientist,Pandera Systems,"Orlando, FL",3.6,
938,Data Scientist,Abbott Laboratories,"Abbott Park, IL",4.0,
939,"Data Scientist, Customer Operations",Snapchat,"Los Angeles, CA 90291 (Venice area)",3.5,
940,Media Audience Data Scientist,WALGREENS,"Deerfield, IL 60015",3.6,
941,Data Scientist,Allianz Global Investors,"San Diego, CA 92101 (Core-Columbia area)",3.9,
942,Data Scientist,ICR,"Denver, CO",3.7,
943,Data Scientist,The Powerline Group,"Boca Raton, FL 33431",1.4,
944,Data Scientist,Fetch Rewards,Illinois,3.0,
945,"Data Scientist-Draper, UT",PFS-Prestige Financial Services,"Draper, UT 84020",3.4,
946,Data Scientist,"Sandhills Global, Inc.","Lincoln, NE",3.3,
947,Data Scientist,2U,"Lanham, MD",3.0,
948,Senior Applied/ Data Scientist w/ deep learning - NLP and Co...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
949,Senior Applied/ Data Scientist w/ deep learning- NLU and Com...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
950,"Data Scientist, Customer Intelligence - Opportunity for Work...",VMware,"Austin, TX",4.0,
951,Senior Data Scientist,Root Insurance Company,"Columbus, OH",3.7,
952,Data Scientist,ANDURIL INDUSTRIES,"Irvine, CA",,
953,Data Scientist/Algorithm Engineer,Double River Investments Limited,United States,,
954,Data Scientist,IFG Companies,"Atlanta, GA",3.1,
955,Data Scientist,John Deere,"Urbandale, IA 50322",4.0,
956,Data Scientist,FT Optimize,"Half Moon Bay, CA",,
957,Data Scientist,CONTINENTAL FINANCE COMPANY,"Wilmington, DE 19808",,
958,DATA SCIENTIST,Decentrix,"Denver, CO",,
959,Data Scientist,Pandera Systems,"Orlando, FL",3.6,
960,Data Scientist,EA Langenfeld & Associates,"Mount Prospect, IL 60056",,"$80,000 - $100,000 a year"
961,Data Scientist,HP,"Boise, ID 83714 (West Bench area)",4.0,
962,Principal Applied/ Data Scientist (w/ deep learning - NLP an...,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
963,Excel Expert Software Engineer/Data Scientist,Ed Mehlman and Associates,"Houston, TX",,
964,Data Scientist - Senior,Valiant Integrated Services,"McLean, VA 22101",3.5,
965,Data Scientist Co-op,"Healthcare Financial, Inc.","Quincy, MA 02171 (Montclair area)",,
966,Data Scientist,Benco Dental,United States,3.6,
967,Data Science Intern,FedEx Ground Careers US,"Township of Moon, PA 15108",3.4,
968,Summer job in Data Science Team,SidekickHealth,"Palo Alto, CA 94301 (Professorville area)",,
969,"Senior Data Scientist, Artificial Intelligence Research","DUFF AND PHELPS, LLC","Nashville, TN",3.4,
970,Data Scientist,Abbott Laboratories,"Abbott Park, IL",4.0,
971,Data Management Analyst IV,McCoy's Building Supply,"San Marcos, TX 78666 (Hunter's Hill area)",3.9,
972,Data Sciences Intern Summer 2021 – Masters/PhD,Johnson & Johnson Family of Companies,"San Diego, CA 92121 (Torrey Pines area)",4.2,
973,Machine Learning Intern,Juniper Networks,"Sunnyvale, CA",4.1,
974,Data Scientist,Stantec,"Louisville, KY 40223",3.7,
975,Senior Data Scientist,XPO Logistics,"Portland, OR 97209 (Pearl District area)",3.2,
976,Product Data Scientist - Ads Data Science,Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,
977,Data Scientist,Syngenta,"Slater, IA",4.1,
978,Data Scientist,Allianz Global Investors,"San Diego, CA 92101 (Core-Columbia area)",3.9,
979,Data Scientist,NowPow,"Chicago, IL 60615 (East Hyde Park area)",4.4,
980,Data Scientist I,Ryder,"Miami, FL 33178",3.4,
981,Data Scientist (Top Modeling-LDA Expert),Upwork,"San Diego, CA 92101",4.0,
982,Data Scientist,The Powerline Group,"Boca Raton, FL 33431",1.4,
