,title,company,city,rating,salary
80,"Entry-Level Data Positions (Data Engineer, Machine Learning...",Citi,"Irving, TX 75062 (Northwest area)",3.9,
81,Data Scientist,Albertsons Companies,"Pleasanton, CA 94588",3.4,
82,Data Scientist,AvantStay,Remote,,"$80,000 - $100,000 a year"
83,Jr Data Scientist/Analyst,DSMH LLC,"Chicago, IL",,$60 - $65 an hour
84,Senior Data Scientist,Netflix,"Los Gatos, CA",3.9,
85,Data Scientist,Central Intelligence Agency,"Washington, DC 20505 (Foggy Bottom area)",4.3,"$70,150 - $172,500 a year"
86,Data Scientist,SSM Health,"St. Louis, MO 63132",3.6,
87,Manufacturing I/T Simulation and Optimization Data Scientist,General Motors,"Austin, TX",4.1,
88,Data Scientist,Remesh,Ohio,,
89,Data scientist,Avila Trading,"San Francisco, CA",,
90,Data Scientist,Remesh,Ohio,,
91,Global Markets Data Scientist,UBS,"New York, NY",3.8,
92,Data Scientist,Dynamic Inc.,"Naperville, IL",,
93,REMOTE Safety Data Scientist II,Raland Compliance Partners,Remote,,$50 - $95 an hour
94,"Data Scientist - Need min 3 years US work experience, Python...",Simplex Info,Remote,,"$80,228 - $186,451 a year"
95,Data scientist,Avila Trading,"San Francisco, CA",,
96,Data Scientist,BDS Analytics,Colorado,3.1,$75 an hour
97,Data Scientist,Prudential,"Newark, NJ 07102 (Central Business District area)",3.9,
98,Data Scientist,"Growers Edge Financial, Inc.","Johnston, IA 50131",,
99,Data Scientist (Junior),Markon Solutions,"Springfield, VA 20598",4.6,
100,Data Scientist,MRIGlobal,"Kansas City, MO 64110 (Western 49-63 area)",2.9,
101,Data Scientist Intern- Darwin,SparkCognition,"Austin, TX 78759 (Arboretum area)",4.4,
102,Data Scientist,choozle.com,"Denver, CO",,
103,Sr. Data Scientist,Innovar Group,Remote,3.9,"$150,000 - $165,000 a year"
104,Data Scientist,Alpha Net Consulting,"Washington, DC",,
105,Data Scientist,"Evozyne, LLC","Chicago, IL 60614 (Wrightwood Neighbors area)",,"From $100,000 a year"
106,Product Data Scientist,Lucid,"Atlanta, GA 30349",3.2,
107,Senior Data Analyst – Engagement & Retention Analytics – Dis...,Disney Streaming Services,"Santa Monica, CA",3.4,
108,Data Scientist,University of Utah,"Salt Lake City, UT 84112 (East Bench area)",4.2,"$65,000 - $80,000 a year"
109,Data Scientist,Cleveland Clinic,"Cleveland, OH",3.9,
110,Healthcare Data Scientist,pulseData,"New York, NY",,
111,Data Scientist,Bridgestone Americas,"Nashville, TN 37201",3.7,
112,Data Scientist,"Grammarly, Inc.","San Francisco, CA 94104 (Financial District area)",4.6,
113,Data Scientist,Mitre Corporation,"Huntsville, AL 35806",4.0,
114,Senior Data Scientist,Qool Media Holdings,"Seattle, WA",,
115,Data Scientist - Resilience Modeling,One Concern,"Menlo Park, CA",,
116,"Data Scientist, Facebook Reality Labs",Facebook,Remote,4.2,
117,Data Scientist - Remote,Schneider,"Green Bay, WI",3.4,
118,Full Time Opportunities for PhD Students or Recent Graduates...,Microsoft,"Redmond, WA 98052 (Overlake area)",4.2,
119,NLP Data Scientist,Glean Analytics Inc.,Remote,,
120,Data Scientist,SCHWAN'S,"Marshall, MN",3.1,
121,Data Scientist,Microsoft,"Redmond, WA 98052 (Overlake area)",4.2,
122,Data Scientist,"Digital Monitoring Products, Inc.","Springfield, MO 65803",,
123,Data Scientist,Elutions,"Delafield, WI",3.3,
124,Senior Data Scientist - Analytics,Textio,"Seattle, WA 98104",,
125,Senior Data Scientist,Open Soft Software Systems,Remote,,"$100,000 - $150,000 a year"
126,Data Scientist,Thyme Care,Remote,,
127,Data Science Engineer/Scientist,Baker Hughes,"Minden, NV 89423",4.0,
128,"Data Scientist, Revenue",Snapchat,"Los Angeles, CA 90291 (Venice area)",3.5,
129,Data Scientist,Babylon Health,"Austin, TX",3.8,
130,Data Scientist - Autonomous Driving,DiDi Labs,"Mountain View, CA",,
131,Data Scientist,UserTesting,"San Francisco, CA (South of Market area)",4.0,
132,Data Scientist,Solvay,"Alpharetta, GA",3.9,
133,Data Scientist,Cresta,Remote,4.2,
134,Data Scientist - Vehicle Safety Data Analytics,General Motors,"Warren, MI",4.1,
135,R Data Scientist,Analytica,"Washington, DC 20009 (U Street Corridor area)",3.6,
136,Data Scientist - Developer Velocity Metrics,Twitter,"New York, NY",4.1,
137,Data Scientist,General Motors,"Warren, MI",4.1,
138,Junior Data Scientist,Decode_M,"New York, NY",,
139,Data Scientist,Merck KGaA,"Sheboygan Falls, WI 53085",3.9,
140,Data Scientist / Data Engineer,"DeepMap, Inc","Palo Alto, CA 94303",,
141,Data Scientist,AvantStay,Remote,,"$80,000 - $100,000 a year"
142,Junior Data Scientist,Aon Corporation,"Seattle, WA 98101 (Downtown area)",3.7,
143,Data scientist,Avila Trading,"San Francisco, CA",,
144,Data Science Linguist,"Press Ganey Associates, Inc.",Remote,3.2,
145,Senior Data Scientist,Global Nephrology Solutions,"Tempe, AZ 85284",3.3,"$120,000 - $140,000 a year"
146,"Data Scientist, Analytics",Facebook,"Austin, TX (Downtown area)",4.2,
147,Senior Data Scientist,dMASS,"Austin, TX 78701 (Downtown area)",,
148,Chief Data Scientist,SportsBiz Group Inc,Remote,,"$150,000 - $190,000 a year"
149,Data Scientist II,Cox Automotive,"Atlanta, GA 30319",3.4,
150,Data Scientist,"Zipcar, Inc.","South San Francisco, CA 94080",3.6,
151,AI Insights Data Analyst,Moveworks,"Austin, TX",4.3,
152,Senior Data Scientist,Oracle,"Austin, TX 78741 (Riverside area)",3.8,
153,"Data Scientist, Reliability Engineering",Tesla,"Palo Alto, CA",3.5,
154,Global Markets Data Scientist,UBS,"New York, NY",3.8,
155,Data Scientist,ASSURANCE,"Seattle, WA 98155",3.2,
156,R Data Scientist,Analytica,"Washington, DC 20009 (U Street Corridor area)",3.6,
157,Data Scientist,Albertsons Companies,"Pleasanton, CA 94588",3.4,
158,DATA SCIENTIST - GEOSPATIAL TECHNOLOGY,BCC Geospatial Center of the CUNY CREST Institute,Remote,,$15 - $25 an hour
159,Product Data Scientist,Waymo,"Mountain View, CA",3.1,
160,Data Scientist,ANALYTOS,"Austin, TX",,
161,Data Scientist,Rambøll,"Brentwood, TN",4.0,
162,Healthcare Data Scientist,pulseData,"New York, NY",,
163,Junior Data Scientist,CRUTCHFIELD CORPORATION,"Charlottesville, VA 22911",3.9,
164,Data Scientist or Data Engineer,Luminosity,"Saint Petersburg, FL 33701 (Downtown area)",4.5,"$45,000 - $100,000 a year"
165,Healthcare Data Scientist,Option Care Health,"Springfield, IL",2.9,
