,title,company,rating,CITY,state,salary_year_mean
81,Data Scientist,Albertsons Companies,3.4,Pleasanton,CA,
82,Data Scientist,AvantStay,,Remote,REMOTE,90000.0
83,Jr Data Scientist/Analyst,DSMH LLC,,Chicago,IL,121875.0
84,Senior Data Scientist,Netflix,3.9,Los Gatos,CA,
85,Data Scientist,Central Intelligence Agency,4.3,Washington,DC,121325.0
86,Data Scientist,SSM Health,3.6,St. Louis,MO,
87,Manufacturing I/T Simulation and Optimization Data Scientist,General Motors,4.1,Austin,TX,
88,Data Scientist,Remesh,,Ohio,OH,
89,Data scientist,Avila Trading,,San Francisco,CA,
90,Data Scientist,Remesh,,Ohio,OH,
91,Global Markets Data Scientist,UBS,3.8,New York,NY,
92,Data Scientist,Dynamic Inc.,,Naperville,IL,
93,REMOTE Safety Data Scientist II,Raland Compliance Partners,,Remote,REMOTE,141375.0
94,"Data Scientist - Need min 3 years US work experience, Python...",Simplex Info,,Remote,REMOTE,133339.5
95,Data scientist,Avila Trading,,San Francisco,CA,
96,Data Scientist,BDS Analytics,3.1,Colorado,CO,146250.0
97,Data Scientist,Prudential,3.9,Newark,NJ,
98,Data Scientist,"Growers Edge Financial, Inc.",,Johnston,IA,
99,Data Scientist (Junior),Markon Solutions,4.6,Springfield,VA,
100,Data Scientist,MRIGlobal,2.9,Kansas City,MO,
101,Data Scientist Intern- Darwin,SparkCognition,4.4,Austin,TX,
102,Data Scientist,choozle.com,,Denver,CO,
103,Sr. Data Scientist,Innovar Group,3.9,Remote,REMOTE,157500.0
104,Data Scientist,Alpha Net Consulting,,Washington,DC,
105,Data Scientist,"Evozyne, LLC",,Chicago,IL,100000.0
106,Product Data Scientist,Lucid,3.2,Atlanta,GA,
107,Senior Data Analyst – Engagement & Retention Analytics – Dis...,Disney Streaming Services,3.4,Santa Monica,CA,
108,Data Scientist,University of Utah,4.2,Salt Lake City,UT,72500.0
109,Data Scientist,Cleveland Clinic,3.9,Cleveland,OH,
110,Healthcare Data Scientist,pulseData,,New York,NY,
111,Data Scientist,Bridgestone Americas,3.7,Nashville,TN,
112,Data Scientist,"Grammarly, Inc.",4.6,San Francisco,CA,
113,Data Scientist,Mitre Corporation,4.0,Huntsville,AL,
114,Senior Data Scientist,Qool Media Holdings,,Seattle,WA,
115,Data Scientist - Resilience Modeling,One Concern,,Menlo Park,CA,
116,"Data Scientist, Facebook Reality Labs",Facebook,4.2,Remote,REMOTE,
117,Data Scientist - Remote,Schneider,3.4,Green Bay,WI,
118,Full Time Opportunities for PhD Students or Recent Graduates...,Microsoft,4.2,Redmond,WA,
119,NLP Data Scientist,Glean Analytics Inc.,,Remote,REMOTE,
120,Data Scientist,SCHWAN'S,3.1,Marshall,MN,
121,Data Scientist,Microsoft,4.2,Redmond,WA,
122,Data Scientist,"Digital Monitoring Products, Inc.",,Springfield,MO,
123,Data Scientist,Elutions,3.3,Delafield,WI,
124,Senior Data Scientist - Analytics,Textio,,Seattle,WA,
125,Senior Data Scientist,Open Soft Software Systems,,Remote,REMOTE,125000.0
126,Data Scientist,Thyme Care,,Remote,REMOTE,
127,Data Science Engineer/Scientist,Baker Hughes,4.0,Minden,NV,
128,"Data Scientist, Revenue",Snapchat,3.5,Los Angeles,CA,
129,Data Scientist,Babylon Health,3.8,Austin,TX,
130,Data Scientist - Autonomous Driving,DiDi Labs,,Mountain View,CA,
131,Data Scientist,UserTesting,4.0,San Francisco,CA,
132,Data Scientist,Solvay,3.9,Alpharetta,GA,
133,Data Scientist,Cresta,4.2,Remote,REMOTE,
134,Data Scientist - Vehicle Safety Data Analytics,General Motors,4.1,Warren,MI,
135,R Data Scientist,Analytica,3.6,Washington,DC,
136,Data Scientist - Developer Velocity Metrics,Twitter,4.1,New York,NY,
137,Data Scientist,General Motors,4.1,Warren,MI,
138,Junior Data Scientist,Decode_M,,New York,NY,
139,Data Scientist,Merck KGaA,3.9,Sheboygan Falls,WI,
140,Data Scientist / Data Engineer,"DeepMap, Inc",,Palo Alto,CA,
141,Data Scientist,AvantStay,,Remote,REMOTE,90000.0
142,Junior Data Scientist,Aon Corporation,3.7,Seattle,WA,
143,Data scientist,Avila Trading,,San Francisco,CA,
144,Data Science Linguist,"Press Ganey Associates, Inc.",3.2,Remote,REMOTE,
145,Senior Data Scientist,Global Nephrology Solutions,3.3,Tempe,AZ,130000.0
146,"Data Scientist, Analytics",Facebook,4.2,Austin,TX,
147,Senior Data Scientist,dMASS,,Austin,TX,
148,Chief Data Scientist,SportsBiz Group Inc,,Remote,REMOTE,170000.0
149,Data Scientist II,Cox Automotive,3.4,Atlanta,GA,
150,Data Scientist,"Zipcar, Inc.",3.6,South San Francisco,CA,
151,AI Insights Data Analyst,Moveworks,4.3,Austin,TX,
152,Senior Data Scientist,Oracle,3.8,Austin,TX,
153,"Data Scientist, Reliability Engineering",Tesla,3.5,Palo Alto,CA,
154,Global Markets Data Scientist,UBS,3.8,New York,NY,
155,Data Scientist,ASSURANCE,3.2,Seattle,WA,
156,R Data Scientist,Analytica,3.6,Washington,DC,
157,Data Scientist,Albertsons Companies,3.4,Pleasanton,CA,
158,DATA SCIENTIST - GEOSPATIAL TECHNOLOGY,BCC Geospatial Center of the CUNY CREST Institute,,Remote,REMOTE,39000.0
159,Product Data Scientist,Waymo,3.1,Mountain View,CA,
160,Data Scientist,ANALYTOS,,Austin,TX,
161,Data Scientist,Rambøll,4.0,Brentwood,TN,
162,Healthcare Data Scientist,pulseData,,New York,NY,
163,Junior Data Scientist,CRUTCHFIELD CORPORATION,3.9,Charlottesville,VA,
164,Data Scientist or Data Engineer,Luminosity,4.5,Saint Petersburg,FL,72500.0
165,Healthcare Data Scientist,Option Care Health,2.9,Springfield,IL,
166,Data Scientist (CONTRACT / REMOTE),Universal Music Group,4.1,Santa Monica,CA,
167,"Data Scientist, Point of Sale & Customers",Square,3.7,Austin,TX,
168,Data Scientist,CommutAir,2.7,North Olmsted,OH,
169,Machine Learning Data Scientist,Itemize,,Nashville,TN,
170,Data Scientist,Staples,3.5,Framingham,MA,
171,Data Scientist,Moorecroft Systems,,Remote,REMOTE,
172,Data Scientist/Developer I,Massachusetts General Hospital(MGH),4.3,Boston,MA,
173,Data Scientist,Qventus,,Remote,REMOTE,
174,Junior Data Scientist,"Othot, Inc.",,Pittsburgh,PA,
175,Junior Data Scientist,Lull,2.6,Remote,REMOTE,
176,Data Scientist Intern,Ultra Mobile,4.1,Costa Mesa,CA,
177,Data Scientist,CNA Insurance,3.6,Chicago,IL,
178,Data Scientist,Kharon,,Los Angeles,CA,
179,Data Scientist,RiskIQ,4.2,California,CA,
180,Data Scientist,Alpha Net Consulting,,Washington,DC,
181,"Data Scientist(Machine Learning,Deep Learning,Python,R)- USC...",Brilliant Infotech,,Atlanta,GA,156000.0
182,Data Scientist,Thyme Care,,Remote,REMOTE,
183,Data Scientist / Machine Learning Engineer,Energy Solutionss,,Palo Alto,CA,234000.0
184,Data Scientist,Albertsons Companies,3.4,Pleasanton,CA,
185,Data Scientist,Corvus Insurance,,Austin,TX,
186,Data Scientist,"Quality Insights, Inc.",,Remote,REMOTE,
187,Data Scientist,Metas Solutions,,Research Triangle Park,NC,
188,"Data Scientist - Machine Learning/AI - (US, Remote)",Dell Technologies,4.0,Austin,TX,
189,Data Scientist,"Applied Systems, Inc.",3.2,Austin,TX,
190,Data Scientist - II,Netomi,,Remote,REMOTE,
191,Data Scientist - Video Computer Vision,Apple,4.2,Santa Clara Valley,CA,
192,Data Scientist,Copart,2.7,Dallas,TX,
193,Data Scientist,Eleks,,Chicago,IL,
194,Data Scientist,Rambøll,4.0,Brentwood,TN,
195,Associate Engineer (Data),"Parks, Experiences and Products",4.2,Lake Buena Vista,FL,
196,Data Scientist,Eleks,,Chicago,IL,
197,Data Scientist,Hewlett Packard Enterprise,3.8,Santa Clara,CA,
198,Machine Learning Engineer /Data Scientist /R&D Scientist/Sof...,Energy Solutionss,,San Antonio,TX,243750.0
199,Data Scientist,Copart,2.7,Dallas,TX,
200,Data Scientist,Plymouth Rock Assurance,3.8,Woodbridge,NJ,
201,Data Scientist,Porch,4.0,Seattle,WA,
202,Data Scientist,IBM,3.9,United States,UNITED,
203,Data Scientist,Flipside Crypto,,Boston,MA,
204,Data Scientist Intern,Ultra Mobile,4.1,Costa Mesa,CA,
205,Data Scientist,Inspire,3.4,Remote,REMOTE,
206,Data Scientist,Metas Solutions,,Research Triangle Park,NC,
207,"Data Scientist - Need min 3 years US work experience, Python...",Simplex Info,,Remote,REMOTE,133339.5
208,Data Scientist,Upwork,4.0,Remote,REMOTE,
209,Senior Data Scientist,IBM,3.9,Austin,TX,
210,Data Scientist,University of California San Francisco,4.2,San Francisco,CA,
211,Data Scientist / Machine Learning Engineer,Energy Solutionss,,Palo Alto,CA,234000.0
212,Data Scientist,Babylon Health,3.8,Austin,TX,
213,Data Scientist,SCHWAN'S,3.1,Marshall,MN,
214,DDM ? Data Scientist,Biz2Credit Inc,3.3,New York,NY,
215,Remote Data Scientist Use Talent for Good,Recruiting for Good,,Los Angeles,CA,
216,Data Scientist,Ginkgo Bioworks,2.7,Boston,MA,
217,Data Scientist,BSI,3.6,United States,UNITED,
218,Data Scientist,MGIC,4.1,Remote,REMOTE,
219,"Senior Data Scientist, 90-100% Telework",CloudPareto LLC,,Arlington,VA,130000.0
220,Senior Data Scientist - Nationwide Opportunities,"Amazon Web Services, Inc.",3.6,Remote,REMOTE,116200.0
221,Data Scientist,Staples,3.5,Framingham,MA,
222,Data Scientist or Data Engineer,Luminosity,4.5,Saint Petersburg,FL,72500.0
223,Senior Data Scientist,Imperfect Foods,2.9,Remote,REMOTE,
224,Data Scientist - Analytics (Up to $125k + 100% Remote Option...,Hired Recruiters,,San Francisco,CA,
225,Machine Learning Engineer /Data Scientist /R&D Scientist/Sof...,Energy Solutionss,,San Antonio,TX,243750.0
226,Early career data scientist / analyst / statistical genetici...,Data Tecnica,,Glen Echo,MD,
227,Data Scientist (6256U) 16096,University of California Berkeley,4.2,Berkeley,CA,
228,Data Scientist,University of California San Francisco,4.2,San Francisco,CA,
229,Data Scientist,Enable Data,,Minneapolis,MN,
230,Data Scientist,Dillard's,3.3,Little Rock,AR,
231,Senior Data Scientist (Americas - Remote),Shopify,3.9,New York,NY,
232,SR Data Scientist,Surya Systems,,San Francisco,CA,
233,Senior Data Scientist,IBM,3.9,Austin,TX,
234,Data Scientist,Power Digital Marketing,3.5,San Diego,CA,
235,Data Scientist,Noom US,3.9,New York,NY,
236,Data Scientist,Pegasystems,3.5,Alabama,AL,
237,Data Analyst/Scientist/Engineer,Cascade Data Labs (a subsidiary of Kin + Carta),,Portland,OR,92500.0
238,Data Scientist,ISE Data Systems,,Reston,VA,
239,Data Scientist,AIPlus Hiring Partner,,New York,NY,115000.0
240,Data Scientist,"Alto Neuroscience, Inc.",,Los Altos,CA,
241,"Entry-Level Data Positions (Data Engineer, Machine Learning...",Citi,3.9,Irving,TX,
242,Data Scientist - Geospatial Software Developer,Semantisys,,Remote,REMOTE,141000.0
243,Data Scientist,Unilever,4.2,Trumbull,CT,
244,Data Scientist (Remote Opportunity),VetsEZ,5.0,Austin,TX,
245,Engineer I - Data Scientist,Ball Aerospace,3.8,Westminster,CO,85250.0
246,Senior Data Scientist,Imperfect Foods,2.9,Remote,REMOTE,
247,Data Scientist Intern- Darwin,SparkCognition,4.4,Austin,TX,
248,Data Scientist - Entry Level,LLNL,4.5,Livermore,CA,
249,Data Scientist - Intermediate,Bayer,4.2,San Francisco,CA,
250,Data Scientist,Fama Technologies,,Remote,REMOTE,
251,"Data Scientist, Medical Diagnostics",Specific Diagnostics,,Mountain View,CA,
252,Chief Data Scientist,SportsBiz Group Inc,,Remote,REMOTE,170000.0
253,Data Scientist,EA Langenfeld & Associates,,Mount Prospect,IL,90000.0
254,Cloud Data Services Associate,PwC,4.0,San Antonio,TX,
255,Data Scientist - II,Netomi,,Remote,REMOTE,
256,"Data Scientist, Analytics-Remote Presence",Facebook,4.2,Remote,REMOTE,
257,Data Review Senior Scientist,Piper Companies,4.5,Durham,NC,80000.0
258,Data Scientist/Analyst (USC-W2 Only),PartnerCubed,,Atlanta,GA,124611.5
259,Public Policy Data Scientist,Metaculus,,Remote,REMOTE,100000.0
260,Data Scientist,Zynga,3.8,Austin,TX,
261,Data Scientist - Senior Levels,FedEx Services,3.8,Coraopolis,PA,
262,Data Scientist / Data Engineer,"DeepMap, Inc",,Palo Alto,CA,
263,Research Data Scientist,Facebook,4.2,Seattle,WA,
264,Data Scientist,Point Pickup,,Stamford,CT,
265,Data Scientist,Nexamp,4.1,Boston,MA,
266,Senior Data Scientist,dMASS,,Austin,TX,
267,Data Scientist,CDK Global,3.2,Hoffman Estates,IL,
268,Senior Applied/ Data Scientist w/ deep learning - NLP and Co...,Oracle,3.8,Austin,TX,
269,Principal Applied/ Data Scientist w/ deep learning - NLP and...,Oracle,3.8,Austin,TX,
270,Principal Applied/ Data Scientist (w/ deep learning - NLP an...,Oracle,3.8,Austin,TX,
271,Data Scientist,EA Langenfeld & Associates,,Mount Prospect,IL,90000.0
272,Junior Data Scientist,Trinco,,Beltsville,MD,56550.0
273,Data Scientist (Freelance),Rauxa,3.4,New York,NY,
274,Data Scientist,Photomath,,San Mateo,CA,100000.0
275,Data Scientist,IBM,3.9,United States,UNITED,
276,Junior Data Scientist,Dynetics,4.3,Huntsville,AL,
277,Data Scientist - Neuroscience Institute,Careers | West Virginia University,4.2,Morgantown,WV,
278,Data Scientist II,Homesite Insurance,3.2,Boston,MA,124000.0
279,"Intern - Data Science, Marketing Analytics (10 weeks)",McKinsey & Company,4.3,Atlanta,GA,
280,Data Scientist (6256U) 16096,University of California Berkeley,4.2,Berkeley,CA,
281,Data Scientist - Analytics (Up to $125k + 100% Remote Option...,Hired Recruiters,,San Francisco,CA,
282,Data Scientist,Information Technology Strategies,,Remote,REMOTE,80724.0
283,Data Scientist,Tegria,,Remote,REMOTE,
284,Data Scientist,BSI,3.6,United States,UNITED,
285,Data Scientist,Equifax,3.5,Boise,ID,
286,Sr. Data Scientist,TruU,,Boulder,CO,
287,Principal Applied/ Data Scientist w/ deep learning - NLP and...,Oracle,3.8,Austin,TX,
288,Data Scientist/Analyst (USC-W2 Only),PartnerCubed,,Atlanta,GA,124611.5
289,Public Policy Data Scientist,Metaculus,,Remote,REMOTE,100000.0
290,Data Scientist,Zynga,3.8,Austin,TX,
291,Data Scientist - Senior Levels,FedEx Services,3.8,Coraopolis,PA,
292,Data Scientist / Data Engineer,"DeepMap, Inc",,Palo Alto,CA,
293,Research Data Scientist,Facebook,4.2,Seattle,WA,
294,Data Scientist,Point Pickup,,Stamford,CT,
295,Data Scientist,Power Digital Marketing,3.5,San Diego,CA,
296,Marketing Analytics Data Scientist,"JPMorgan Chase Bank, N.A.",3.9,Columbus,OH,
297,DATA SCIENTIST - GEOSPATIAL TECHNOLOGY,BCC Geospatial Center of the CUNY CREST Institute,,Remote,REMOTE,39000.0
298,Clinical Data Scientist,"LogicStream Health, Inc.",,Minneapolis-Saint Paul,MN,105000.0
299,Principal Applied/ Data Scientist (w/ deep learning - NLP an...,Oracle,3.8,Austin,TX,
300,Senior Applied/ Data Scientist w/ deep learning- NLU and Com...,Oracle,3.8,Austin,TX,
301,Senior Applied/ Data Scientist w/ deep learning - NLP and Co...,Oracle,3.8,Austin,TX,
302,Data Scientist,Truist Financial,3.6,Charlotte,NC,
303,"Data Scientist, Machine Learning",Moveworks.ai,,Mountain View,CA,
304,Data Scientist- Data & Relevancy,Wish,4.0,San Francisco,CA,
305,Clinical Data Scientist / Statistical Programmer,Denali Therapeutics,,South San Francisco,CA,
306,Data Scientist,TruU,,Colorado,CO,
307,Data Scientist,Serry Systems,,Arlington,VA,
